folioviv,foliohog,numren,trab,tipo_trab1,tipo_trab2,ocupa1,ocupa2
0100013605,1,01,1,3,0,1,0
0100013606,1,01,1,1,0,1,0
0100017801,1,01,1,1,0,1,0
0100017801,1,02,1,3,0,1,0
0100017802,1,01,1,1,0,1,0
0100017803,1,01,1,2,0,1,0
0100017804,1,01,1,1,0,1,0
0100017805,1,03,1,1,0,1,0
0100021402,1,01,1,3,0,1,0
0100021403,1,01,1,3,0,1,0
0100021403,1,02,1,1,0,1,0
0100021403,1,03,1,1,0,1,0
0100021404,1,06,1,1,0,1,0
0100021405,1,01,1,3,0,1,0
0100021406,1,01,1,1,0,1,0
0100041902,1,01,1,3,0,1,0
0100041902,1,02,1,3,0,1,0
0100041904,1,01,1,1,0,1,0
0100041905,1,02,1,1,0,1,0
0100044701,1,01,1,1,0,1,0
0100044701,1,02,1,1,0,1,0
0100044702,1,01,1,1,0,1,0
0100044702,1,03,1,3,0,1,0
0100044705,1,01,1,3,0,1,0
0100044705,1,03,1,1,0,1,0
0100044705,1,04,1,1,1,1,1
0100045302,1,01,1,3,0,1,0
0100045304,1,01,1,3,0,1,0
0100045304,1,02,1,3,0,1,0
0100049001,1,01,1,3,0,1,0
0100049001,1,02,1,1,0,1,0
0100049001,1,03,1,1,0,1,0
0100049003,1,01,1,1,0,1,0
0100049003,1,02,1,3,0,1,0
0100049006,1,01,1,3,0,1,0
0100054201,1,02,1,3,0,1,0
0100054201,1,03,1,3,0,1,0
0100054203,1,01,1,1,0,1,0
0100054203,1,02,1,3,0,1,0
0100054203,1,03,1,1,0,1,0
0100054206,1,01,1,2,0,1,0
0100058701,1,01,1,3,0,1,0
0100058702,1,01,1,3,0,1,0
0100058702,1,02,1,1,0,1,0
0100058703,1,02,1,1,0,1,0
0100058703,1,04,1,3,0,1,0
0100058705,1,01,1,1,0,1,0
0100058706,1,01,1,1,0,1,0
0100061503,1,01,1,1,3,1,1
0100061503,1,02,1,1,1,1,1
0100061503,1,03,1,1,1,1,1
0100061503,1,04,1,1,0,1,0
0100061503,1,05,1,3,1,1,1
0100061503,1,06,1,1,0,1,0
0100061504,1,01,1,1,0,1,0
0100061505,1,01,1,1,0,1,0
0100062601,1,01,1,1,0,1,0
0100062601,1,02,1,1,0,1,0
