folioviv,foliohog,numren,trab,tipo_trab1,tipo_trab2,ocupa1,ocupa2
0100005002,1,02,1,1,0,1,0
0100005003,1,01,1,1,0,1,0
0100005003,1,02,1,1,0,1,0
0100005004,1,01,1,3,0,1,0
0100005004,1,03,1,1,0,1,0
0100012002,2,01,1,1,0,1,0
0100012004,1,01,1,3,0,1,0
0100012004,1,02,1,1,0,1,0
0100012004,1,03,1,1,0,1,0
0100012006,1,01,1,1,0,1,0
0100019302,1,01,1,3,0,1,0
0100019302,1,02,1,1,0,1,0
0100019302,1,03,1,1,0,1,0
0100019303,1,01,1,1,0,1,0
0100019304,1,01,1,1,0,1,0
0100023302,1,02,1,1,0,1,0
0100023303,1,02,1,1,0,1,0
0100023305,1,01,1,1,0,1,0
0100023305,1,02,1,1,0,1,0
0100023305,1,04,1,1,0,1,0
0100023306,1,01,1,1,0,1,0
0100048301,1,01,1,1,0,1,0
0100048302,1,01,1,1,0,1,0
0100048303,1,01,1,1,0,1,0
0100048306,1,01,1,3,0,1,0
0100048306,1,02,1,1,0,1,0
0100050501,1,03,1,3,0,1,0
0100050501,1,04,1,1,0,1,0
0100050501,1,05,1,3,0,1,0
0100050501,1,06,1,1,0,1,0
0100050501,1,08,1,1,0,1,0
0100050501,1,09,1,1,0,1,0
0100050502,1,02,1,1,0,1,0
0100050502,1,03,1,1,0,1,0
0100050502,1,04,1,1,0,1,0
0100050503,1,03,1,1,0,1,0
0100050505,1,03,1,1,0,1,0
0100050506,1,01,1,1,0,1,0
0100050506,1,03,1,3,0,1,0
0100055501,1,01,1,1,0,1,0
0100055501,1,02,1,1,0,1,0
0100055502,1,01,1,1,0,1,0
0100055505,1,01,1,1,0,1,0
0100067501,1,01,1,1,0,1,0
0100067502,1,01,1,1,0,1,0
0100067503,1,03,1,1,0,1,0
0100067504,1,01,1,1,0,1,0
0100067504,1,02,1,1,0,1,0
0100067505,1,01,1,1,0,1,0
0100071701,1,01,1,3,0,1,0
0100071701,1,03,1,1,0,1,0
0100071701,1,04,1,1,0,1,0
0100071702,1,01,1,1,0,1,0
0100071702,1,02,1,3,0,1,0
0100071703,1,01,1,1,1,1,1
0100071703,1,04,1,1,1,1,1
0100071705,1,01,1,3,0,1,0
0100071705,1,02,1,1,0,1,0
0100071706,1,01,1,1,0,1,0
0100075702,1,02,1,1,1,1,1
0100075702,1,03,1,3,0,1,0
0100075703,1,01,1,1,0,1,0
0100075703,1,03,1,1,0,1,0
0100075703,1,04,1,1,0,1,0
0100075704,1,01,1,1,0,1,0
0100075704,1,02,1,3,0,1,0
0100075705,1,03,1,1,0,1,0
0100075706,1,01,1,1,0,1,0
0100075706,1,02,1,1,0,1,0
0100087903,1,01,1,1,0,1,0
0100087903,1,02,1,1,0,1,0
0100087903,1,03,1,1,0,1,0
0100087903,1,04,1,1,0,1,0
0100087904,1,01,1,1,0,1,0
0100087904,1,02,1,1,0,1,0
0100087906,1,01,1,3,0,1,0
0100087906,1,02,1,1,0,1,0
0100094201,1,01,1,1,0,1,0
0100094201,1,02,1,1,0,1,0
0100094202,1,01,1,1,0,1,0
0100094202,1,02,1,1,0,1,0
0100094202,1,03,1,1,0,1,0
0100094202,1,04,1,1,0,1,0
0100094202,1,06,1,1,0,1,0
0100094203,1,02,1,1,0,1,0
0100094203,1,04,1,1,0,1,0
0100094204,1,01,1,3,0,1,0
0100094206,1,01,1,1,0,1,0
0100094206,1,02,1,1,0,1,0
0100094206,1,03,1,1,1,1,1
0100094206,1,04,1,1,1,1,1
0100094206,1,06,1,1,0,1,0
0100098902,1,03,1,1,0,1,0
0100098903,1,01,1,3,1,1,1
0100098903,1,02,1,1,0,1,0
0100098904,1,01,1,3,1,1,1
0100098904,1,02,1,1,0,1,0
0100134203,1,01,1,1,0,1,0
0100134205,1,03,1,1,0,1,0
0100134206,1,01,1,1,0,1,0
0100137402,1,01,1,1,0,1,0
0100137402,1,03,1,1,0,1,0
0100137403,1,01,1,1,0,1,0
0100137403,1,02,1,1,0,1,0
0100137403,1,03,1,1,0,1,0
0100137403,1,04,1,1,0,1,0
0100137405,1,01,1,3,0,1,0
0100137405,1,02,1,1,0,1,0
0100137405,1,03,1,1,0,1,0
0100137405,1,04,1,1,0,1,0
0100142603,1,02,1,1,0,1,0
0100142604,1,01,1,1,0,1,0
0100142605,1,01,1,1,0,1,0
0100142605,1,02,1,1,0,1,0
0100142606,1,02,1,1,1,1,1
0100149801,1,01,1,3,0,1,0
0100149801,1,02,1,1,0,1,0
0100149802,1,01,1,1,0,1,0
0100149803,1,01,1,1,0,1,0
0100149806,1,02,1,1,0,1,0
0100149806,1,03,1,1,1,1,1
0100149806,1,04,1,1,0,1,0
0100150001,1,01,1,3,0,1,0
0100150002,1,01,1,3,0,1,0
0100150002,1,02,1,1,3,1,1
0100150004,1,01,1,3,0,1,0
0100150006,1,02,1,3,0,1,0
0100150006,1,03,1,1,0,1,0
0100152302,1,01,1,1,0,1,0
0100152305,1,03,1,1,0,1,0
0100152305,1,05,1,1,0,1,0
0100158501,1,01,1,1,0,1,0
0100158502,1,02,1,3,0,1,0
0100158503,1,01,1,1,0,1,0
0100158503,1,02,1,1,0,1,0
0100158504,1,01,1,1,0,1,0
0100158504,1,02,1,1,0,1,0
0100158505,1,01,1,1,0,1,0
0100158506,1,01,1,1,0,1,0
0100158506,1,02,1,1,0,1,0
0100161701,1,01,1,3,0,1,0
0100161704,1,01,1,3,0,1,0
0100161704,1,02,1,1,0,1,0
0100161704,1,03,1,2,0,1,0
0100161704,1,04,1,1,0,1,0
0100161704,1,05,1,1,0,1,0
0100164904,1,01,1,3,0,1,0
0100164904,1,02,1,1,0,1,0
0100164904,1,03,1,1,0,1,0
0100164905,1,02,1,1,0,1,0
0100164905,1,04,1,1,0,1,0
0100164906,1,01,1,1,0,1,0
0100164906,1,02,1,1,0,1,0
0100176206,1,01,1,1,0,1,0
0100182401,1,03,1,1,0,1,0
0100182401,1,04,1,1,0,1,0
0100182404,1,02,1,3,0,1,0
0100182404,1,03,1,1,0,1,0
0100182404,1,06,1,1,0,1,0
0100209601,1,01,1,1,1,1,1
0100209601,1,02,1,1,0,1,0
0100209606,1,01,1,1,0,1,0
0100223801,1,01,1,3,0,1,0
0100223804,1,01,1,1,0,1,0
0100223805,1,01,1,3,0,1,0
0100223806,1,03,1,1,0,1,0
0100224701,1,01,1,1,0,1,0
0100224701,1,02,1,1,3,1,1
0100224705,1,02,1,3,0,1,0
0100224706,1,01,1,1,0,1,0
0100230001,1,02,1,3,0,1,0
0100230001,1,03,1,1,0,1,0
0100230004,1,01,1,1,0,1,0
0100230006,1,01,1,3,0,1,0
0100230006,1,02,1,3,0,1,0
0100235305,1,01,1,1,0,1,0
0100235305,1,02,1,3,0,1,0
0100240503,1,01,1,3,0,1,0
0100246701,1,01,1,1,0,1,0
0100246702,1,01,1,3,0,1,0
0100246703,1,01,1,1,1,1,1
0100246704,1,01,1,3,0,1,0
0100246704,1,03,1,1,0,1,0
0100246705,1,03,1,1,0,1,0
0100246706,1,01,1,3,0,1,0
0100246706,1,02,1,3,0,1,0
0100258905,1,01,1,3,0,1,0
0100258906,1,02,1,1,0,1,0
0100258906,1,03,1,1,0,1,0
0100262201,1,01,1,1,0,1,0
0100262201,1,03,1,1,0,1,0
0100262202,1,03,1,1,0,1,0
0100262203,1,01,1,1,0,1,0
0100262204,2,01,1,1,0,1,0
0100262204,2,02,1,1,0,1,0
0100269403,1,01,1,1,0,1,0
0100269403,1,02,1,1,0,1,0
0100269404,1,01,1,1,0,1,0
0100269404,1,02,1,1,0,1,0
0100269404,1,03,1,1,0,1,0
0100269406,1,03,1,1,0,1,0
0100293604,1,01,1,3,0,1,0
0100300402,1,01,1,1,0,1,0
0100300402,1,03,1,1,0,1,0
0100300404,1,02,1,3,0,1,0
0100300404,1,03,1,1,0,1,0
0100300405,1,01,1,1,0,1,0
0100300405,1,02,1,1,0,1,0
0100300405,1,03,1,1,0,1,0
0100300406,1,01,1,3,0,1,0
0100300406,1,02,1,1,0,1,0
0100300406,1,03,1,1,0,1,0
0100336802,1,01,1,1,0,1,0
0100336803,1,01,1,3,0,1,0
0100336804,1,01,1,3,0,1,0
0100336804,1,02,1,1,0,1,0
0100336804,1,04,1,1,0,1,0
0100336806,1,01,1,1,0,1,0
0100365001,1,01,1,1,0,1,0
0100365001,1,03,1,1,0,1,0
0100365002,1,01,1,3,0,1,0
0100365003,1,01,1,1,0,1,0
0100365003,1,02,1,1,1,1,1
0100365003,1,04,1,1,0,1,0
0100365004,1,01,1,1,0,1,0
0100373301,1,01,1,1,0,1,0
0100373303,1,01,1,1,0,1,0
0100373304,1,03,1,1,0,1,0
0100373304,1,04,1,1,0,1,0
0100373306,1,03,1,1,0,1,0
0100376502,1,01,1,1,0,1,0
0100376503,1,01,1,1,0,1,0
0100376503,1,02,1,1,0,1,0
0100376503,1,03,1,1,0,1,0
0100376504,1,01,1,1,0,1,0
0100385904,1,01,1,1,0,1,0
0100385906,1,01,1,1,0,1,0
0100385906,1,02,1,1,0,1,0
0100386701,1,01,1,3,0,1,0
0100386703,1,03,1,1,1,1,1
0100386704,1,01,1,1,0,1,0
0100386704,1,02,1,3,0,1,0
0100386705,1,01,1,3,0,1,0
0100386706,1,01,1,3,0,1,0
0100391902,1,01,1,1,1,1,1
0100391902,1,02,1,1,0,1,0
0100404202,1,02,1,1,0,1,0
0100404202,1,03,1,1,0,1,0
0100404203,1,01,1,3,0,1,0
0100404203,1,02,1,1,0,1,0
0100404204,1,01,1,1,0,1,0
0100404204,1,02,1,1,0,1,0
0100404206,1,02,1,1,0,1,0
0100415201,1,01,1,1,0,1,0
0100415201,1,03,1,1,0,1,0
0100415201,1,04,1,1,0,1,0
0100415201,1,05,1,1,0,1,0
0100415201,1,06,1,1,0,1,0
0100415202,1,01,1,3,0,1,0
0100415202,1,02,1,1,3,1,1
0100415203,1,01,1,1,0,1,0
0100415203,1,02,1,3,3,1,1
0100415204,1,01,1,1,0,1,0
0100415204,1,02,1,1,0,1,0
0100415205,1,01,1,1,0,1,0
0100415205,1,02,1,3,0,1,0
0100417402,1,01,1,1,1,1,1
0100417402,1,02,1,1,1,1,1
0100417402,1,03,1,1,0,1,0
0100417402,1,04,1,1,0,1,0
0100417404,1,01,1,1,0,1,0
0100417404,1,02,1,1,0,1,0
0100417404,1,03,1,1,0,1,0
0100417405,1,01,1,3,0,1,0
0100417405,1,04,1,1,0,1,0
0100417406,1,01,1,1,0,1,0
0100417406,1,03,1,1,0,1,0
0100420401,1,01,1,1,0,1,0
0100420401,1,02,1,1,0,1,0
0100420402,1,01,1,1,0,1,0
0100420402,1,02,1,1,0,1,0
0100420402,1,03,1,1,0,1,0
0100420402,1,05,1,1,0,1,0
0100420402,1,06,1,1,0,1,0
0100420403,1,01,1,3,0,1,0
0100420403,1,02,1,1,0,1,0
0100420404,1,01,1,1,1,1,1
0100420406,1,02,1,1,1,1,1
0100420406,1,03,1,3,0,1,0
0100420406,1,04,1,1,3,1,1
0100425601,1,01,1,1,0,1,0
0100425601,1,02,1,1,0,1,0
0100425601,1,03,1,1,0,1,0
0100425602,1,03,1,1,0,1,0
0100425602,1,04,1,1,0,1,0
0100425603,1,02,1,3,0,1,0
0100425603,1,03,1,3,0,1,0
0100425605,1,01,1,3,0,1,0
0100425605,1,02,1,1,0,1,0
0100425605,1,03,1,3,1,1,1
0100429801,1,03,1,1,0,1,0
0100429803,1,03,1,1,0,1,0
0100429804,1,01,1,3,0,1,0
0100429804,1,03,1,2,0,1,0
0100429805,1,01,1,3,3,1,1
0100429805,1,02,1,3,0,1,0
0100429805,1,03,1,1,0,1,0
0100429806,1,01,1,1,3,1,1
0100431001,1,01,1,1,0,1,0
0100431001,1,02,1,3,1,1,1
0100431001,1,03,1,3,0,1,0
0100431001,1,05,1,1,0,1,0
0100431001,1,06,1,1,0,1,0
0100431003,1,01,1,3,0,1,0
0100431003,1,02,1,1,0,1,0
0100431003,1,03,1,1,0,1,0
0100431004,1,02,1,1,0,1,0
0100431004,1,04,1,1,0,1,0
0100431005,1,02,1,1,0,1,0
0100434601,1,01,1,1,0,1,0
0100434601,1,02,1,1,0,1,0
0100434601,1,03,1,1,0,1,0
0100434601,1,04,1,1,0,1,0
0100434602,1,02,1,1,0,1,0
0100434602,1,03,1,3,0,1,0
0100434602,1,04,1,1,0,1,0
0100434603,1,02,1,3,0,1,0
0100434604,1,01,1,3,0,1,0
